county_and_age_group,Female,Male,Excess Females at age group
Roscommon County Council 45-49,2430,2501,-71
Roscommon County Council 5-9,2372,2486,-114
Roscommon County Council 50-54,2323,2409,-86
Roscommon County Council 55-59,2273,2349,-76
Roscommon County Council 60-64,2206,2180,26
Roscommon County Council 65-69,1974,2061,-87
Roscommon County Council 70-74,1665,1678,-13
Roscommon County Council 75-79,1247,1267,-20
Roscommon County Council 80-84,847,738,109
Roscommon County Council 85-89,591,431,160
Roscommon County Council 90-94,281,154,127
Roscommon County Council 95-99,73,22,51
Sligo County Council 0-4,1923,1995,-72
Sligo County Council 10-14,2400,2576,-176
Sligo County Council 15-19,2314,2308,6
Sligo County Council 20-24,2014,2025,-11
Sligo County Council 25-29,1643,1649,-6
Sligo County Council 30-34,1924,1720,204
Sligo County Council 35-39,2484,2268,216
Sligo County Council 40-44,2664,2529,135
Sligo County Council 45-49,2541,2383,158
Sligo County Council 5-9,2128,2351,-223
Sligo County Council 50-54,2278,2307,-29
Sligo County Council 55-59,2316,2201,115
Sligo County Council 60-64,2244,2110,134
Sligo County Council 65-69,2037,1892,145
Sligo County Council 70-74,1698,1722,-24
Sligo County Council 75-79,1351,1214,137
Sligo County Council 80-84,832,720,112
Sligo County Council 85-89,566,418,148
Sligo County Council 90-94,234,119,115
Sligo County Council 95-99,69,19,50
South Dublin County Council 0-4,9034,9643,-609
South Dublin County Council 10-14,11542,12100,-558
South Dublin County Council 15-19,9998,10392,-394
South Dublin County Council 20-24,9109,9431,-322
South Dublin County Council 25-29,9002,8746,256
South Dublin County Council 30-34,10742,9539,1203
South Dublin County Council 35-39,12797,11523,1274
South Dublin County Council 40-44,13429,12696,733
South Dublin County Council 45-49,11007,10626,381
South Dublin County Council 5-9,10502,11168,-666
South Dublin County Council 50-54,9167,9057,110
South Dublin County Council 55-59,8166,7511,655
South Dublin County Council 60-64,7545,6769,776
South Dublin County Council 65-69,7054,5928,1126
South Dublin County Council 70-74,6038,5326,712
South Dublin County Council 75-79,4130,3516,614
South Dublin County Council 80-84,2475,1949,526
