,Sex,Single Year of Age,VALUE
4305,Male,31,1767
4306,Male,31,1725
4307,Male,31,772
4308,Male,31,1205
4309,Male,31,867
4310,Male,31,712
4311,Male,31,759
4312,Male,31,958
4313,Male,31,155
4314,Male,31,719
4315,Male,31,343
4316,Male,31,334
4317,Male,31,450
4318,Male,31,831
4319,Male,31,355
4320,Male,32,32413
4321,Male,32,362
4322,Male,32,6080
4323,Male,32,1516
4324,Male,32,2088
4325,Male,32,1887
4326,Male,32,1462
4327,Male,32,578
4328,Male,32,559
4329,Male,32,267
4330,Male,32,782
4331,Male,32,1254
4332,Male,32,447
4333,Male,32,562
4334,Male,32,906
4335,Male,32,827
4336,Male,32,642
4337,Male,32,1727
4338,Male,32,1791
4339,Male,32,854
4340,Male,32,1316
4341,Male,32,867
4342,Male,32,771
4343,Male,32,655
4344,Male,32,907
4345,Male,32,163
4346,Male,32,667
4347,Male,32,381
4348,Male,32,361
4349,Male,32,466
4350,Male,32,927
4351,Male,32,341
4352,Male,33,31888
4353,Male,33,366
4354,Male,33,5734
4355,Male,33,1442
4356,Male,33,2157
4357,Male,33,1895
4358,Male,33,1522
4359,Male,33,563
4360,Male,33,538
4361,Male,33,261
4362,Male,33,814
4363,Male,33,1253
4364,Male,33,444
4365,Male,33,582
4366,Male,33,821
4367,Male,33,837
4368,Male,33,643
4369,Male,33,1633
4370,Male,33,1910
4371,Male,33,755
4372,Male,33,1310
4373,Male,33,884
4374,Male,33,686
4375,Male,33,594
4376,Male,33,996
4377,Male,33,173
4378,Male,33,761
4379,Male,33,359
4380,Male,33,321
4381,Male,33,466
4382,Male,33,868
4383,Male,33,300
4384,Male,34,33121
4385,Male,34,360
4386,Male,34,5503
4387,Male,34,1488
4388,Male,34,2188
4389,Male,34,2040
4390,Male,34,1563
4391,Male,34,594
4392,Male,34,548
4393,Male,34,291
4394,Male,34,890
4395,Male,34,1350
4396,Male,34,503
4397,Male,34,575
4398,Male,34,961
4399,Male,34,865
4400,Male,34,714
4401,Male,34,1636
4402,Male,34,2038
4403,Male,34,817
4404,Male,34,1314
4405,Male,34,939
4406,Male,34,711
4407,Male,34,611
4408,Male,34,1056
4409,Male,34,192
4410,Male,34,778
4411,Male,34,383
4412,Male,34,370
4413,Male,34,475
4414,Male,34,946
4415,Male,34,422
4416,Male,35,34695
4417,Male,35,387
4418,Male,35,5488
4419,Male,35,1506
4420,Male,35,2321
4421,Male,35,2054
4422,Male,35,1722
4423,Male,35,634
4424,Male,35,655
4425,Male,35,296
4426,Male,35,868
4427,Male,35,1504
4428,Male,35,546
4429,Male,35,666
4430,Male,35,986
4431,Male,35,923
4432,Male,35,729
4433,Male,35,1687
4434,Male,35,2181
4435,Male,35,860
4436,Male,35,1404
4437,Male,35,982
4438,Male,35,807
4439,Male,35,610
4440,Male,35,1139
4441,Male,35,216
4442,Male,35,821
4443,Male,35,420
4444,Male,35,399
4445,Male,35,519
4446,Male,35,959
4447,Male,35,406
4448,Male,36,35828
4449,Male,36,397
4450,Male,36,5401
4451,Male,36,1511
4452,Male,36,2484
4453,Male,36,2304
4454,Male,36,1733
4455,Male,36,625
4456,Male,36,667
4457,Male,36,331
4458,Male,36,946
4459,Male,36,1526
4460,Male,36,521
4461,Male,36,722
4462,Male,36,1009
4463,Male,36,949
4464,Male,36,765
4465,Male,36,1701
4466,Male,36,2198
4467,Male,36,992
4468,Male,36,1419
4469,Male,36,1011
4470,Male,36,832
4471,Male,36,625
4472,Male,36,1193
4473,Male,36,211
4474,Male,36,871
4475,Male,36,465
4476,Male,36,444
4477,Male,36,549
4478,Male,36,1005
4479,Male,36,421
4480,Male,37,36427
4481,Male,37,451
4482,Male,37,5208
4483,Male,37,1543
4484,Male,37,2528
4485,Male,37,2327
4486,Male,37,1837
4487,Male,37,657
4488,Male,37,704
4489,Male,37,275
4490,Male,37,878
4491,Male,37,1601
4492,Male,37,563
4493,Male,37,719
4494,Male,37,1002
4495,Male,37,1076
4496,Male,37,788
4497,Male,37,1759
4498,Male,37,2355
4499,Male,37,948
4500,Male,37,1468
4501,Male,37,1019
4502,Male,37,823
4503,Male,37,650
4504,Male,37,1243
4505,Male,37,211
4506,Male,37,899
4507,Male,37,431
4508,Male,37,423
4509,Male,37,578
4510,Male,37,991
4511,Male,37,472
4512,Male,38,37513
4513,Male,38,465
4514,Male,38,5083
4515,Male,38,1644
4516,Male,38,2682
4517,Male,38,2418
4518,Male,38,1889
4519,Male,38,683
4520,Male,38,718
4521,Male,38,333
4522,Male,38,964
4523,Male,38,1605
4524,Male,38,564
4525,Male,38,657
4526,Male,38,1067
4527,Male,38,1077
4528,Male,38,863
4529,Male,38,1728
4530,Male,38,2461
4531,Male,38,1033
4532,Male,38,1521
4533,Male,38,1124
4534,Male,38,851
4535,Male,38,624
4536,Male,38,1266
4537,Male,38,231
4538,Male,38,892
4539,Male,38,492
4540,Male,38,493
4541,Male,38,583
4542,Male,38,1036
4543,Male,38,466
4544,Male,39,38749
4545,Male,39,453
4546,Male,39,4959
4547,Male,39,1667
